marca,model,varianta,an,tip,arhitectura,mass_kg,Cd,Af,P_ICE_max_kW,P_EM_max_kW,bat_energy_kWh,price_EUR,co2_wltp_g_km,consum_wltp_L_100km,eta_th_peak,sursa,estimari
Honda,HR-V,e:HEV 1.5 131,2024,HEV,serie_paralel,1380,0.31,2.38,79,96,0.80,33500,122,5.4,0.41,Fișă tehnică Honda 2024,Cd;Af
Honda,ZR-V,e:HEV 2.0 184,2024,HEV,serie_paralel,1590,0.30,2.51,105,135,1.05,42500,130,5.8,0.41,Fișă tehnică Honda 2024,Cd;Af
Honda,CR-V,e:HEV 2.0 184 AWD,2024,HEV,serie_paralel,1785,0.31,2.68,109,135,1.05,52500,151,6.7,0.41,Fișă tehnică Honda 2024,Cd;Af
Honda,CR-V,e:PHEV 2.0 184,2024,PHEV,serie_paralel,1955,0.31,2.68,109,135,17.7,59500,18,0.8,0.41,Fișă tehnică Honda 2024,Cd;Af;co2
Hyundai,Kona,1.6 GDI Hybrid 141,2024,HEV,paralel,1415,0.27,2.45,77,32,1.32,30500,109,4.8,0.40,Fișă tehnică Hyundai 2024,Af
Hyundai,Tucson,1.6 T-GDI Hybrid 215 2WD,2024,HEV,paralel,1590,0.33,2.62,132,44,1.49,38500,131,5.8,0.38,Fișă tehnică Hyundai 2024,Cd;Af
Hyundai,Tucson,1.6 T-GDI Hybrid 215 4WD,2024,HEV,paralel,1670,0.33,2.62,132,44,1.49,41500,140,6.2,0.38,Fișă tehnică Hyundai 2024,Cd;Af
Hyundai,Tucson,1.6 T-GDI PHEV 253 4WD,2024,PHEV,paralel,1855,0.33,2.62,132,67,13.8,46500,31,1.4,0.38,Fișă tehnică Hyundai 2024,Cd;Af;co2
Hyundai,Santa Fe,1.6 T-GDI Hybrid 215 2WD,2024,HEV,paralel,1880,0.33,2.90,132,44,1.49,52500,142,6.3,0.38,Fișă tehnică Hyundai 2024,Cd;Af
Hyundai,Santa Fe,1.6 T-GDI PHEV 253 4WD,2024,PHEV,paralel,2085,0.33,2.90,132,67,13.8,58500,38,1.7,0.38,Fișă tehnică Hyundai 2024,Cd;Af;co2
Hyundai,Ioniq,1.6 GDI Hybrid 141,2021,HEV,paralel,1370,0.24,2.27,77,32,1.56,28500,102,4.5,0.40,Fișă tehnică Hyundai 2021,Af
Hyundai,Ioniq,1.6 GDI PHEV 141,2021,PHEV,paralel,1495,0.24,2.27,77,45,8.9,33500,26,1.1,0.40,Fișă tehnică Hyundai 2021,Af;co2
Kia,Niro,1.6 GDI Hybrid 141,2024,HEV,paralel,1474,0.29,2.50,77,32,1.32,31500,107,4.7,0.40,Fișă tehnică Kia 2024,Af
Kia,Niro,1.6 GDI PHEV 183,2024,PHEV,paralel,1594,0.29,2.50,77,62,11.1,38500,23,1.0,0.40,Fișă tehnică Kia 2024,Af;co2
Kia,Sportage,1.6 T-GDI Hybrid 215 2WD,2024,HEV,paralel,1587,0.33,2.60,132,44,1.49,37500,125,5.5,0.38,Fișă tehnică Kia 2024,Cd;Af
Kia,Sportage,1.6 T-GDI Hybrid 215 4WD,2024,HEV,paralel,1663,0.33,2.60,132,44,1.49,40500,136,6.0,0.38,Fișă tehnică Kia 2024,Cd;Af
Kia,Sportage,1.6 T-GDI PHEV 265 4WD,2024,PHEV,paralel,1905,0.33,2.60,132,67,13.8,45500,34,1.5,0.38,Fișă tehnică Kia 2024,Cd;Af;co2
Kia,Sorento,1.6 T-GDI Hybrid 215 2WD,2024,HEV,paralel,1929,0.33,2.85,132,44,1.49,49500,149,6.6,0.38,Fișă tehnică Kia 2024,Cd;Af
Kia,Sorento,1.6 T-GDI PHEV 253 4WD,2024,PHEV,paralel,2099,0.33,2.85,132,67,13.8,55500,36,1.6,0.38,Fișă tehnică Kia 2024,Cd;Af;co2
Kia,XCeed,1.6 GDI PHEV 141,2023,PHEV,paralel,1591,0.30,2.39,77,45,8.9,34500,29,1.3,0.40,Fișă tehnică Kia 2023,Cd;Af;co2
Kia,Ceed SW,1.6 GDI PHEV 141,2023,PHEV,paralel,1579,0.29,2.36,77,45,8.9,33500,28,1.2,0.40,Fișă tehnică Kia 2023,Cd;Af;co2
Ford,Kuga,2.5 FHEV 183 FWD,2024,HEV,serie_paralel,1701,0.33,2.60,112,97,1.10,39500,130,5.7,0.40,Fișă tehnică Ford 2024,Cd;Af
Ford,Kuga,2.5 FHEV 183 AWD,2024,HEV,serie_paralel,1786,0.33,2.60,112,97,1.10,42500,140,6.2,0.40,Fișă tehnică Ford 2024,Cd;Af
Ford,Kuga,2.5 PHEV 243,2024,PHEV,serie_paralel,1859,0.33,2.60,112,97,14.4,44500,25,1.1,0.40,Fișă tehnică Ford 2024,Cd;Af;co2
Ford,Explorer,3.0 PHEV 457 AWD,2022,PHEV,paralel,2466,0.34,3.10,267,75,13.6,79500,71,3.1,0.36,Fișă tehnică Ford 2022,Cd;Af;co2
Ford,Puma,1.0 EcoBoost mHEV 125,2024,MHEV,paralel,1280,0.32,2.30,92,12,0.42,25500,124,5.5,0.37,Fișă tehnică Ford 2024,Cd;Af
Ford,Focus,1.0 EcoBoost mHEV 155,2024,MHEV,paralel,1341,0.28,2.30,114,12,0.42,29500,122,5.4,0.37,Fișă tehnică Ford 2024,Cd;Af
VW,Golf,1.5 eHybrid 204,2024,PHEV,paralel,1620,0.28,2.21,110,85,19.7,39500,10,0.4,0.38,Fișă tehnică VW 2024,Cd;Af;co2
VW,Golf,GTE 1.5 272,2024,PHEV,paralel,1650,0.28,2.21,130,85,19.7,45500,11,0.5,0.38,Fișă tehnică VW 2024,Cd;Af;co2
VW,Passat,1.5 eHybrid 204,2024,PHEV,paralel,1780,0.25,2.31,110,85,19.7,49500,11,0.5,0.38,Fișă tehnică VW 2024,Cd;Af;co2
VW,Passat,1.5 eHybrid 272,2024,PHEV,paralel,1795,0.25,2.31,130,85,19.7,54500,12,0.5,0.38,Fișă tehnică VW 2024,Cd;Af;co2
VW,Tiguan,1.5 eHybrid 204,2024,PHEV,paralel,1810,0.28,2.60,110,85,19.7,47500,12,0.5,0.38,Fișă tehnică VW 2024,Cd;Af;co2
VW,Tiguan,1.5 eHybrid 272,2024,PHEV,paralel,1830,0.28,2.60,130,85,19.7,52500,13,0.6,0.38,Fișă tehnică VW 2024,Cd;Af;co2
VW,Touareg,3.0 eHybrid 381 4MOTION,2024,PHEV,paralel,2405,0.32,2.91,250,100,17.9,79500,66,2.9,0.36,Fișă tehnică VW 2024,Cd;Af;co2
VW,Touareg,3.0 R eHybrid 462 4MOTION,2024,PHEV,paralel,2465,0.32,2.91,250,100,17.9,94500,71,3.1,0.36,Fișă tehnică VW 2024,Cd;Af;co2
VW,Arteon,1.4 eHybrid 218,2023,PHEV,paralel,1734,0.27,2.26,115,85,10.9,49500,26,1.1,0.37,Fișă tehnică VW 2023,Cd;Af;co2
VW,Multivan,1.4 eHybrid 218,2024,PHEV,paralel,2114,0.30,3.20,110,85,10.9,59500,42,1.9,0.37,Fișă tehnică VW 2024,Cd;Af;co2
Skoda,Octavia,1.4 iV PHEV 204,2023,PHEV,paralel,1636,0.26,2.30,110,85,10.9,38500,23,1.0,0.37,Fișă tehnică Skoda 2023,Cd;Af;co2
Skoda,Superb,1.5 iV PHEV 204,2024,PHEV,paralel,1785,0.25,2.36,110,85,19.7,46500,11,0.5,0.38,Fișă tehnică Skoda 2024,Cd;Af;co2
Skoda,Kodiaq,1.5 iV PHEV 204,2024,PHEV,paralel,1889,0.28,2.71,110,85,19.7,48500,13,0.6,0.38,Fișă tehnică Skoda 2024,Cd;Af;co2
Seat,Leon,1.5 e-Hybrid 204,2024,PHEV,paralel,1614,0.28,2.21,110,85,19.7,38500,11,0.5,0.38,Fișă tehnică Seat 2024,Cd;Af;co2
Cupra,Leon,1.5 e-Hybrid 272 VZ,2024,PHEV,paralel,1656,0.28,2.21,130,85,19.7,46500,12,0.5,0.38,Fișă tehnică Cupra 2024,Cd;Af;co2
Cupra,Formentor,1.5 e-Hybrid 272 VZ,2024,PHEV,paralel,1709,0.30,2.42,130,85,19.7,49500,14,0.6,0.38,Fișă tehnică Cupra 2024,Cd;Af;co2
Cupra,Terramar,1.5 e-Hybrid 272 VZ,2025,PHEV,paralel,1856,0.30,2.58,130,85,19.7,52500,15,0.7,0.38,Fișă tehnică Cupra 2025,Cd;Af;co2
Audi,A3,40 TFSI e 204,2024,PHEV,paralel,1610,0.28,2.24,110,85,19.7,42500,11,0.5,0.38,Fișă tehnică Audi 2024,Cd;Af;co2
Audi,A3,45 TFSI e 272,2024,PHEV,paralel,1640,0.28,2.24,130,85,19.7,48500,12,0.5,0.38,Fișă tehnică Audi 2024,Cd;Af;co2
Audi,Q3,45 TFSI e 245,2023,PHEV,paralel,1785,0.32,2.53,110,85,10.9,49500,32,1.4,0.37,Fișă tehnică Audi 2023,Cd;Af;co2
Audi,A5,e-hybrid quattro 299,2025,PHEV,paralel,1985,0.27,2.31,185,105,20.7,62500,15,0.7,0.37,Fișă tehnică Audi 2025,Cd;Af;co2
Audi,Q5,e-hybrid quattro 299,2025,PHEV,paralel,2145,0.30,2.63,185,105,20.7,66500,19,0.9,0.37,Fișă tehnică Audi 2025,Cd;Af;co2
Audi,A6,50 TFSI e quattro 299,2023,PHEV,paralel,2085,0.27,2.35,185,105,14.4,68500,32,1.4,0.37,Fișă tehnică Audi 2023,Cd;Af;co2
Audi,A7,55 TFSI e quattro 367,2023,PHEV,paralel,2140,0.27,2.34,185,105,14.4,79500,34,1.5,0.37,Fișă tehnică Audi 2023,Cd;Af;co2
Audi,Q7,55 TFSI e quattro 394,2024,PHEV,paralel,2495,0.32,2.87,250,100,22.0,89500,53,2.3,0.36,Fișă tehnică Audi 2024,Cd;Af;co2
Audi,Q8,55 TFSI e quattro 394,2024,PHEV,paralel,2505,0.34,2.84,250,100,22.0,99500,58,2.6,0.36,Fișă tehnică Audi 2024,Cd;Af;co2
Audi,A8,60 TFSI e quattro 462,2023,PHEV,paralel,2385,0.26,2.41,250,100,14.4,119500,42,1.9,0.36,Fișă tehnică Audi 2023,Cd;Af;co2
BMW,Seria 2 Active Tourer,225e xDrive,2024,PHEV,paralel,1845,0.26,2.45,110,80,14.9,48500,17,0.8,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,Seria 2 Active Tourer,230e xDrive,2024,PHEV,paralel,1865,0.26,2.45,130,130,14.9,53500,18,0.8,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,Seria 3,320e,2024,PHEV,paralel,1815,0.26,2.24,120,80,10.7,49500,29,1.3,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,Seria 3,330e,2024,PHEV,paralel,1845,0.26,2.24,135,80,17.1,55500,19,0.9,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,Seria 3,330e xDrive Touring,2024,PHEV,paralel,1975,0.27,2.28,135,80,17.1,60500,24,1.1,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,Seria 5,530e,2024,PHEV,paralel,2065,0.25,2.35,140,135,18.7,63500,17,0.8,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,Seria 5,550e xDrive,2024,PHEV,paralel,2265,0.25,2.35,230,145,18.7,84500,21,0.9,0.36,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,X1,25e xDrive,2024,PHEV,paralel,1895,0.27,2.56,100,130,14.2,49500,21,0.9,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,X1,30e xDrive,2024,PHEV,paralel,1915,0.27,2.56,110,130,14.2,53500,22,1.0,0.38,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,X3,30e xDrive,2025,PHEV,paralel,2075,0.27,2.66,140,135,19.7,63500,25,1.1,0.38,Fișă tehnică BMW 2025,Cd;Af;co2
BMW,X5,50e xDrive,2024,PHEV,paralel,2495,0.31,2.87,230,145,25.7,89500,29,1.3,0.36,Fișă tehnică BMW 2024,Cd;Af;co2
BMW,Seria 7,750e xDrive,2024,PHEV,paralel,2565,0.24,2.60,230,145,18.7,129500,29,1.3,0.36,Fișă tehnică BMW 2024,Cd;Af;co2
Mercedes-Benz,Clasa A,A250e,2023,PHEV,paralel,1680,0.25,2.19,120,80,15.6,43500,17,0.8,0.38,Fișă tehnică Mercedes 2023,Cd;Af;co2
Mercedes-Benz,Clasa B,B250e,2023,PHEV,paralel,1735,0.26,2.32,120,80,15.6,45500,20,0.9,0.38,Fișă tehnică Mercedes 2023,Cd;Af;co2
Mercedes-Benz,CLA,250e Coupé,2023,PHEV,paralel,1705,0.23,2.17,120,80,15.6,47500,16,0.7,0.38,Fișă tehnică Mercedes 2023,Cd;Af;co2
Mercedes-Benz,Clasa C,C300e,2024,PHEV,paralel,2065,0.24,2.29,150,95,25.4,61500,14,0.6,0.38,Fișă tehnică Mercedes 2024,Cd;Af;co2
Mercedes-Benz,Clasa C,C300de,2024,PHEV,paralel,2135,0.24,2.29,145,95,25.4,63500,13,0.5,0.42,Fișă tehnică Mercedes 2024 (diesel),Cd;Af;co2
Mercedes-Benz,Clasa E,E300e,2024,PHEV,paralel,2185,0.23,2.35,150,95,25.4,71500,14,0.6,0.38,Fișă tehnică Mercedes 2024,Cd;Af;co2
Mercedes-Benz,Clasa E,E300de 4MATIC,2024,PHEV,paralel,2285,0.23,2.35,145,95,25.4,76500,15,0.6,0.42,Fișă tehnică Mercedes 2024 (diesel),Cd;Af;co2
Mercedes-Benz,GLA,250e,2023,PHEV,paralel,1775,0.28,2.47,120,80,15.6,49500,22,1.0,0.38,Fișă tehnică Mercedes 2023,Cd;Af;co2
Mercedes-Benz,GLB,250e,2023,PHEV,paralel,1850,0.30,2.56,120,80,15.6,52500,25,1.1,0.38,Fișă tehnică Mercedes 2023,Cd;Af;co2
Mercedes-Benz,GLC,300e 4MATIC,2024,PHEV,paralel,2245,0.29,2.56,150,100,31.2,69500,15,0.7,0.38,Fișă tehnică Mercedes 2024,Cd;Af;co2
Mercedes-Benz,GLE,400e 4MATIC,2024,PHEV,paralel,2565,0.29,2.86,185,100,31.2,89500,23,1.0,0.37,Fișă tehnică Mercedes 2024,Cd;Af;co2
Mercedes-Benz,Clasa S,S580e,2024,PHEV,paralel,2475,0.22,2.50,270,110,28.6,139500,21,0.9,0.36,Fișă tehnică Mercedes 2024,Cd;Af;co2
Volvo,XC60,T6 AWD Recharge 350,2024,PHEV,paralel,2135,0.32,2.71,186,107,18.8,68500,22,1.0,0.37,Fișă tehnică Volvo 2024,Cd;Af;co2
Volvo,XC60,T8 AWD Recharge 455,2024,PHEV,paralel,2165,0.32,2.71,228,107,18.8,79500,24,1.1,0.37,Fișă tehnică Volvo 2024,Cd;Af;co2
Volvo,XC90,T8 AWD Recharge 455,2024,PHEV,paralel,2375,0.33,2.88,228,107,18.8,89500,29,1.3,0.37,Fișă tehnică Volvo 2024,Cd;Af;co2
Volvo,S60,T8 AWD Recharge 455,2023,PHEV,paralel,2015,0.27,2.32,228,107,18.8,64500,20,0.9,0.37,Fișă tehnică Volvo 2023,Cd;Af;co2
Volvo,V60,T6 AWD Recharge 350,2023,PHEV,paralel,2065,0.28,2.35,186,107,18.8,62500,20,0.9,0.37,Fișă tehnică Volvo 2023,Cd;Af;co2
Volvo,S90,T8 AWD Recharge 455,2023,PHEV,paralel,2145,0.26,2.42,228,107,18.8,79500,21,0.9,0.37,Fișă tehnică Volvo 2023,Cd;Af;co2
Peugeot,308,Hybrid 136 e-DCS6,2024,MHEV,paralel,1378,0.28,2.25,100,21,0.89,32500,114,5.0,0.38,Fișă tehnică Peugeot 2024,Cd;Af
Peugeot,308,Hybrid 180 e-EAT8 PHEV,2023,PHEV,paralel,1683,0.28,2.25,110,81,12.4,42500,26,1.1,0.38,Fișă tehnică Peugeot 2023,Cd;Af;co2
Peugeot,308,Hybrid 225 e-EAT8 PHEV,2023,PHEV,paralel,1698,0.28,2.25,133,81,12.4,46500,27,1.2,0.38,Fișă tehnică Peugeot 2023,Cd;Af;co2
Peugeot,408,Hybrid 225 e-EAT8 PHEV,2024,PHEV,paralel,1744,0.28,2.30,133,81,12.4,47500,27,1.2,0.38,Fișă tehnică Peugeot 2024,Cd;Af;co2
Peugeot,3008,Hybrid 136 e-DCS6,2024,MHEV,paralel,1595,0.28,2.62,100,21,0.89,39500,122,5.4,0.38,Fișă tehnică Peugeot 2024,Cd;Af
Peugeot,3008,Hybrid4 300 PHEV (gen2),2021,PHEV,paralel,1875,0.32,2.58,147,83,13.2,52500,29,1.3,0.37,Fișă tehnică Peugeot 2021,Cd;Af;co2
Peugeot,508,Hybrid 225 e-EAT8 PHEV,2023,PHEV,paralel,1730,0.26,2.25,133,81,12.4,49500,25,1.1,0.38,Fișă tehnică Peugeot 2023,Cd;Af;co2
Peugeot,508,PSE Hybrid4 360 PHEV,2023,PHEV,paralel,1875,0.26,2.25,147,83,11.5,66500,36,1.6,0.37,Fișă tehnică Peugeot 2023,Cd;Af;co2
Citroen,C5 Aircross,Hybrid 136 e-DCS6,2024,MHEV,paralel,1580,0.31,2.62,100,21,0.89,36500,124,5.5,0.38,Fișă tehnică Citroën 2024,Cd;Af
Citroen,C5 Aircross,Hybrid 225 e-EAT8 PHEV,2023,PHEV,paralel,1819,0.31,2.62,133,81,13.2,44500,32,1.4,0.38,Fișă tehnică Citroën 2023,Cd;Af;co2
Citroen,C5 X,Hybrid 225 e-EAT8 PHEV,2023,PHEV,paralel,1789,0.29,2.48,133,81,12.4,46500,30,1.3,0.38,Fișă tehnică Citroën 2023,Cd;Af;co2
DS,DS4,E-Tense 225 PHEV,2024,PHEV,paralel,1723,0.28,2.34,133,81,12.4,45500,26,1.1,0.38,Fișă tehnică DS 2024,Cd;Af;co2
